date,product,category,region,channel,quantity,revenue,profit,profit_margin,year,month,quarter,year_month
2023-01-08,External SSD,Peripherals,North,Online,27,21095.32,6462.13,30.63,2023,1,1,2023-01
2023-01-08,Smartphone X,Audio,East,Partner,94,169829.17,39890.42,23.49,2023,1,1,2023-01
2023-01-08,Smartphone X,Computers,Central,Partner,51,71505.39,26484.46,37.04,2023,1,1,2023-01
2023-01-08,Tablet Plus,Accessories,North,Retail,54,74771.49,9911.51,13.26,2023,1,1,2023-01
2023-01-08,Webcam HD,Accessories,Central,Partner,97,189352.16,66740.24,35.25,2023,1,1,2023-01
2023-01-08,Tablet Plus,Electronics,Central,Partner,99,85301.7,20711.57,24.28,2023,1,1,2023-01
2023-01-08,Laptop Pro,Electronics,West,Online,58,76229.63,12304.08,16.14,2023,1,1,2023-01
2023-01-09,Wireless Headphones,Peripherals,East,Direct,98,76279.99,22369.19,29.33,2023,1,1,2023-01
2023-01-09,Desktop Computer,Accessories,West,Retail,51,33824.28,10746.19,31.77,2023,1,1,2023-01
2023-01-09,Desktop Computer,Computers,East,Online,8,8214.24,1791.87,21.81,2023,1,1,2023-01
2023-01-09,External SSD,Accessories,South,Retail,49,59428.69,8239.33,13.86,2023,1,1,2023-01
2023-01-09,External SSD,Peripherals,East,Online,45,29358.55,4630.48,15.77,2023,1,1,2023-01
2023-01-09,Wireless Headphones,Peripherals,West,Direct,27,16269.92,3202.16,19.68,2023,1,1,2023-01
2023-01-09,External SSD,Audio,South,Online,15,20969.7,7509.8,35.81,2023,1,1,2023-01
2023-01-09,Laptop Pro,Peripherals,South,Partner,24,35663.43,4219.26,11.83,2023,1,1,2023-01
2023-01-10,Tablet Plus,Electronics,South,Retail,63,94486.56,28903.04,30.59,2023,1,1,2023-01
2023-01-10,Smartphone X,Peripherals,East,Online,62,27560.69,9037.19,32.79,2023,1,1,2023-01
2023-01-10,Smart Watch,Electronics,West,Partner,87,126488.33,22936.42,18.13,2023,1,1,2023-01
2023-01-10,Laptop Pro,Accessories,North,Online,67,16002.39,5401.38,33.75,2023,1,1,2023-01
2023-01-10,Smartphone X,Audio,West,Retail,66,14206.52,5250.06,36.96,2023,1,1,2023-01
2023-01-10,Mouse Gaming,Accessories,East,Online,71,134081.04,30513.79,22.76,2023,1,1,2023-01
2023-01-11,Laptop Pro,Accessories,East,Direct,49,83500.92,31619.3,37.87,2023,1,1,2023-01
2023-01-11,Printer Laser,Peripherals,North,Online,52,36903.99,14561.7,39.46,2023,1,1,2023-01
2023-01-11,Webcam HD,Electronics,North,Online,68,57931.59,7599.01,13.12,2023,1,1,2023-01
2023-01-11,Smartphone X,Accessories,Central,Partner,31,18729.17,3167.97,16.91,2023,1,1,2023-01
2023-01-11,Desktop Computer,Electronics,East,Online,64,64506.29,23536.46,36.49,2023,1,1,2023-01
2023-01-11,Mouse Gaming,Peripherals,South,Online,75,109448.34,31187.71,28.5,2023,1,1,2023-01
2023-01-11,Smart Watch,Accessories,Central,Partner,56,84277.17,21055.67,24.98,2023,1,1,2023-01
2023-01-11,Wireless Headphones,Audio,East,Retail,40,2437.93,484.02,19.85,2023,1,1,2023-01
2023-01-11,Desktop Computer,Audio,West,Partner,13,1411.14,350.64,24.85,2023,1,1,2023-01
2023-01-12,Laptop Pro,Electronics,North,Online,97,65850.23,21247.2,32.27,2023,1,1,2023-01
2023-01-12,Wireless Headphones,Computers,North,Partner,40,16641.22,4980.51,29.93,2023,1,1,2023-01
2023-01-12,Keyboard Mechanical,Audio,Central,Direct,43,50276.99,11377.93,22.63,2023,1,1,2023-01
2023-01-12,Keyboard Mechanical,Peripherals,North,Online,97,123630.24,27364.16,22.13,2023,1,1,2023-01
2023-01-12,External SSD,Accessories,North,Direct,46,6124.07,2381.28,38.88,2023,1,1,2023-01
2023-01-12,Webcam HD,Electronics,Central,Partner,99,106154.72,30632.4,28.86,2023,1,1,2023-01
2023-01-12,Smart Watch,Electronics,East,Direct,73,57945.27,22503.77,38.84,2023,1,1,2023-01
2023-01-12,Tablet Plus,Peripherals,East,Online,21,16854.05,6646.69,39.44,2023,1,1,2023-01
2023-01-12,Smart Watch,Accessories,South,Retail,4,2509.61,741.56,29.55,2023,1,1,2023-01
2023-01-13,Smart Watch,Audio,West,Partner,88,169438.48,65532.24,38.68,2023,1,1,2023-01
2023-01-13,Smartphone X,Electronics,West,Direct,11,15695.2,4011.08,25.56,2023,1,1,2023-01
2023-01-13,Webcam HD,Accessories,South,Retail,3,4089.01,1324.18,32.38,2023,1,1,2023-01
2023-01-13,Desktop Computer,Accessories,South,Direct,73,126186.87,28550.92,22.63,2023,1,1,2023-01
2023-01-13,Keyboard Mechanical,Peripherals,East,Direct,93,31345.61,4848.74,15.47,2023,1,1,2023-01
2023-01-13,Wireless Headphones,Electronics,West,Partner,20,15936.2,2449.21,15.37,2023,1,1,2023-01
2023-01-13,Webcam HD,Computers,West,Online,7,696.07,262.01,37.64,2023,1,1,2023-01
2023-01-13,Printer Laser,Computers,South,Partner,51,41786.61,10153.48,24.3,2023,1,1,2023-01
2023-01-14,Webcam HD,Computers,West,Direct,14,5830.15,1178.48,20.21,2023,1,1,2023-01
2023-01-14,Tablet Plus,Peripherals,East,Partner,53,83139.79,16802.05,20.21,2023,1,1,2023-01
2023-01-14,Laptop Pro,Electronics,Central,Online,63,64759.19,7297.43,11.27,2023,1,1,2023-01
2023-01-14,Laptop Pro,Electronics,South,Online,93,127905.81,27770.04,21.71,2023,1,1,2023-01
2023-01-14,Desktop Computer,Accessories,East,Direct,88,23749.8,6075.02,25.58,2023,1,1,2023-01
2023-01-14,Tablet Plus,Peripherals,North,Retail,15,6523.0,728.74,11.17,2023,1,1,2023-01
2023-01-15,Smartphone X,Peripherals,North,Partner,22,13549.12,2560.23,18.9,2023,1,1,2023-01
2023-01-15,Tablet Plus,Audio,South,Direct,11,21084.4,2873.55,13.63,2023,1,1,2023-01
2023-01-15,Smart Watch,Electronics,South,Online,80,98386.68,36791.04,37.39,2023,1,1,2023-01
2023-01-15,Desktop Computer,Computers,North,Retail,13,24954.19,8461.4,33.91,2023,1,1,2023-01
2023-01-16,Wireless Headphones,Computers,North,Direct,90,164984.45,46413.5,28.13,2023,1,1,2023-01
2023-01-16,Monitor 4K,Electronics,East,Partner,76,56480.95,19007.88,33.65,2023,1,1,2023-01
2023-01-16,Smart Watch,Audio,South,Retail,9,13748.98,2105.29,15.31,2023,1,1,2023-01
2023-01-16,Laptop Pro,Audio,North,Partner,62,63622.36,25323.39,39.8,2023,1,1,2023-01
2023-01-17,Wireless Headphones,Peripherals,Central,Direct,78,129612.81,16705.74,12.89,2023,1,1,2023-01
2023-01-17,Tablet Plus,Accessories,North,Retail,68,101751.81,13644.39,13.41,2023,1,1,2023-01
2023-01-17,Smartphone X,Audio,West,Online,82,56450.91,10800.68,19.13,2023,1,1,2023-01
2023-01-17,Webcam HD,Peripherals,Central,Retail,38,55144.13,12615.42,22.88,2023,1,1,2023-01
2023-01-17,Laptop Pro,Accessories,North,Partner,6,9517.01,2109.47,22.17,2023,1,1,2023-01
2023-01-17,Printer Laser,Computers,North,Retail,19,18775.39,5537.28,29.49,2023,1,1,2023-01
2023-01-17,Mouse Gaming,Peripherals,North,Direct,33,62502.98,22564.06,36.1,2023,1,1,2023-01
2023-01-17,Monitor 4K,Audio,South,Partner,3,2123.29,529.12,24.92,2023,1,1,2023-01
2023-01-17,Keyboard Mechanical,Computers,East,Online,68,66549.48,15691.85,23.58,2023,1,1,2023-01
2023-01-17,Smartphone X,Audio,South,Retail,17,22792.56,4280.49,18.78,2023,1,1,2023-01
2023-01-17,External SSD,Audio,North,Direct,80,120991.21,45755.09,37.82,2023,1,1,2023-01
2023-01-18,Webcam HD,Audio,West,Online,76,26168.96,5750.48,21.97,2023,1,1,2023-01
2023-01-18,Desktop Computer,Peripherals,Central,Retail,20,12238.04,2113.02,17.27,2023,1,1,2023-01
2023-01-18,Webcam HD,Accessories,West,Direct,74,127346.65,42953.56,33.73,2023,1,1,2023-01
2023-01-18,Smartphone X,Computers,West,Online,25,8166.6,1855.11,22.72,2023,1,1,2023-01
2023-01-18,Desktop Computer,Accessories,North,Direct,93,110504.38,39961.67,36.16,2023,1,1,2023-01
2023-01-18,Wireless Headphones,Accessories,Central,Retail,68,78038.29,20095.92,25.75,2023,1,1,2023-01
2023-01-18,Desktop Computer,Peripherals,West,Retail,8,14766.1,5513.79,37.34,2023,1,1,2023-01
2023-01-19,Smartphone X,Accessories,South,Direct,74,101960.5,23878.63,23.42,2023,1,1,2023-01
2023-01-19,Keyboard Mechanical,Peripherals,South,Online,29,55705.62,6401.41,11.49,2023,1,1,2023-01
2023-01-19,External SSD,Electronics,Central,Partner,75,149004.11,46528.64,31.23,2023,1,1,2023-01
2023-01-19,Wireless Headphones,Accessories,North,Online,42,31831.24,10465.85,32.88,2023,1,1,2023-01
2023-01-19,Webcam HD,Accessories,South,Online,83,37503.65,10990.09,29.3,2023,1,1,2023-01
2023-01-19,Laptop Pro,Audio,North,Online,62,23862.8,5680.51,23.8,2023,1,1,2023-01
2023-01-20,Laptop Pro,Electronics,East,Direct,13,11165.28,2156.91,19.32,2023,1,1,2023-01
2023-01-20,Mouse Gaming,Computers,West,Partner,16,18703.83,2610.02,13.95,2023,1,1,2023-01
2023-01-20,Wireless Headphones,Accessories,Central,Partner,25,28646.18,10355.06,36.15,2023,1,1,2023-01
2023-01-20,Wireless Headphones,Electronics,West,Retail,100,91901.4,10274.7,11.18,2023,1,1,2023-01
2023-01-20,Webcam HD,Electronics,Central,Direct,83,30368.97,10358.67,34.11,2023,1,1,2023-01
2023-01-21,External SSD,Accessories,East,Partner,100,117633.74,29342.0,24.94,2023,1,1,2023-01
2023-01-21,Desktop Computer,Peripherals,West,Partner,25,1321.2,206.39,15.62,2023,1,1,2023-01
2023-01-21,Keyboard Mechanical,Audio,West,Direct,33,7406.81,1514.46,20.45,2023,1,1,2023-01
2023-01-22,Mouse Gaming,Accessories,Central,Retail,25,47722.81,6323.58,13.25,2023,1,1,2023-01
2023-01-22,Desktop Computer,Accessories,West,Retail,98,85416.82,11463.39,13.42,2023,1,1,2023-01
2023-01-22,Tablet Plus,Computers,North,Online,63,91990.02,19157.45,20.83,2023,1,1,2023-01
2023-01-22,Printer Laser,Computers,North,Online,26,1572.9,510.25,32.44,2023,1,1,2023-01
2023-01-22,Monitor 4K,Electronics,East,Partner,71,109719.28,13060.92,11.9,2023,1,1,2023-01
2023-01-22,Smartphone X,Computers,East,Retail,86,114555.57,20290.97,17.71,2023,1,1,2023-01
2023-01-23,Desktop Computer,Audio,Central,Direct,13,8823.38,3021.99,34.25,2023,1,1,2023-01
2023-01-23,External SSD,Accessories,South,Partner,62,76701.33,27080.05,35.31,2023,1,1,2023-01
2023-01-23,Keyboard Mechanical,Peripherals,West,Direct,61,89997.08,31519.58,35.02,2023,1,1,2023-01
2023-01-23,Monitor 4K,Electronics,East,Partner,42,19705.46,4614.15,23.42,2023,1,1,2023-01
2023-01-23,Tablet Plus,Electronics,Central,Online,14,18857.43,5082.33,26.95,2023,1,1,2023-01
2023-01-23,External SSD,Accessories,West,Online,23,45424.43,8563.12,18.85,2023,1,1,2023-01
2023-01-23,Desktop Computer,Accessories,East,Partner,45,35514.61,13244.46,37.29,2023,1,1,2023-01
2023-01-24,Smart Watch,Peripherals,West,Retail,69,53944.51,7525.76,13.95,2023,1,1,2023-01
2023-01-24,Wireless Headphones,Electronics,West,Retail,53,87116.59,19774.14,22.7,2023,1,1,2023-01
2023-01-24,Printer Laser,Peripherals,Central,Retail,57,95481.8,22954.12,24.04,2023,1,1,2023-01
2023-01-24,Mouse Gaming,Computers,Central,Direct,95,97146.28,28312.43,29.14,2023,1,1,2023-01
2023-01-24,Smart Watch,Computers,East,Online,20,30768.79,6132.84,19.93,2023,1,1,2023-01
2023-01-24,Keyboard Mechanical,Accessories,West,Retail,53,81695.41,18537.95,22.69,2023,1,1,2023-01
2023-01-24,Desktop Computer,Audio,South,Direct,68,6589.95,1286.46,19.52,2023,1,1,2023-01
2023-01-24,Keyboard Mechanical,Computers,West,Retail,61,48196.23,14812.63,30.73,2023,1,1,2023-01
2023-01-25,Keyboard Mechanical,Audio,East,Direct,42,30513.22,5659.54,18.55,2023,1,1,2023-01
2023-01-25,Webcam HD,Electronics,East,Partner,5,6001.08,1513.38,25.22,2023,1,1,2023-01
2023-01-25,Smart Watch,Electronics,Central,Partner,92,167860.01,64284.79,38.3,2023,1,1,2023-01
2023-01-25,Mouse Gaming,Accessories,South,Partner,3,2237.78,523.71,23.4,2023,1,1,2023-01
2023-01-25,Monitor 4K,Peripherals,East,Retail,35,23257.42,7200.26,30.96,2023,1,1,2023-01
2023-01-26,Mouse Gaming,Peripherals,West,Partner,66,105316.28,10862.25,10.31,2023,1,1,2023-01
2023-01-26,Wireless Headphones,Audio,West,Partner,9,14742.78,3384.97,22.96,2023,1,1,2023-01
2023-01-26,Smartphone X,Audio,South,Direct,23,42605.68,11828.93,27.76,2023,1,1,2023-01
2023-01-26,Laptop Pro,Accessories,South,Direct,99,144588.8,32164.99,22.25,2023,1,1,2023-01
2023-01-27,Tablet Plus,Peripherals,East,Direct,67,28568.44,2955.93,10.35,2023,1,1,2023-01
2023-01-27,Webcam HD,Audio,East,Direct,79,31370.66,11005.52,35.08,2023,1,1,2023-01
2023-01-27,Desktop Computer,Accessories,South,Direct,91,28328.96,8200.17,28.95,2023,1,1,2023-01
2023-01-27,Webcam HD,Audio,East,Partner,52,94560.83,20470.76,21.65,2023,1,1,2023-01
2023-01-27,Tablet Plus,Accessories,Central,Partner,74,52053.48,20709.41,39.78,2023,1,1,2023-01
2023-01-28,Smartphone X,Computers,East,Partner,62,98323.98,27649.97,28.12,2023,1,1,2023-01
2023-01-28,Monitor 4K,Computers,West,Online,96,64774.8,10613.74,16.39,2023,1,1,2023-01
2023-01-28,Laptop Pro,Peripherals,North,Partner,15,23525.02,6232.3,26.49,2023,1,1,2023-01
2023-01-28,Wireless Headphones,Audio,East,Partner,5,5651.17,1875.37,33.19,2023,1,1,2023-01
2023-01-28,Wireless Headphones,Computers,West,Partner,81,44843.94,12295.64,27.42,2023,1,1,2023-01
2023-01-29,Wireless Headphones,Accessories,South,Online,77,13657.67,1410.74,10.33,2023,1,1,2023-01
2023-01-29,Wireless Headphones,Audio,West,Direct,61,52996.1,9773.42,18.44,2023,1,1,2023-01
2023-01-29,Printer Laser,Audio,North,Direct,64,8688.28,1578.72,18.17,2023,1,1,2023-01
2023-01-29,Laptop Pro,Accessories,West,Retail,69,50780.06,5876.81,11.57,2023,1,1,2023-01
2023-01-29,Smartphone X,Accessories,North,Direct,19,16037.38,4394.76,27.4,2023,1,1,2023-01
2023-01-29,Laptop Pro,Peripherals,North,Partner,21,10198.3,2901.68,28.45,2023,1,1,2023-01
2023-01-29,Wireless Headphones,Peripherals,East,Retail,34,40434.77,8460.92,20.92,2023,1,1,2023-01
2023-01-29,Mouse Gaming,Peripherals,North,Direct,20,39061.97,5427.02,13.89,2023,1,1,2023-01
2023-01-30,Printer Laser,Accessories,South,Direct,12,3830.89,1389.09,36.26,2023,1,1,2023-01
2023-01-30,Smart Watch,Computers,West,Partner,59,24194.05,8350.2,34.51,2023,1,1,2023-01
2023-01-30,Monitor 4K,Accessories,West,Retail,17,28712.76,11319.05,39.42,2023,1,1,2023-01
2023-01-30,Mouse Gaming,Accessories,Central,Online,84,87928.66,20454.2,23.26,2023,1,1,2023-01
2023-01-30,Keyboard Mechanical,Electronics,East,Partner,64,43668.42,5076.09,11.62,2023,1,1,2023-01
2023-01-30,Keyboard Mechanical,Computers,West,Retail,36,5686.45,717.68,12.62,2023,1,1,2023-01
2023-01-30,Tablet Plus,Peripherals,South,Partner,90,160097.47,61293.94,38.29,2023,1,1,2023-01
2023-01-30,Smartphone X,Electronics,Central,Partner,99,130650.64,35490.09,27.16,2023,1,1,2023-01
2023-01-30,Tablet Plus,Computers,South,Online,59,31653.85,3645.5,11.52,2023,1,1,2023-01
2023-01-31,Desktop Computer,Computers,Central,Retail,95,61357.2,6313.92,10.29,2023,1,1,2023-01
2023-01-31,Desktop Computer,Audio,East,Online,74,41643.63,12004.19,28.83,2023,1,1,2023-01
2023-01-31,Desktop Computer,Electronics,North,Retail,67,56604.42,9573.97,16.91,2023,1,1,2023-01
2023-01-31,Monitor 4K,Electronics,Central,Partner,65,108279.41,11956.15,11.04,2023,1,1,2023-01
2023-01-31,Wireless Headphones,Peripherals,Central,Retail,12,23355.94,7062.17,30.24,2023,1,1,2023-01
2023-01-31,Mouse Gaming,Peripherals,Central,Direct,16,23103.82,2388.04,10.34,2023,1,1,2023-01
2023-01-31,Keyboard Mechanical,Peripherals,Central,Online,36,58187.86,19872.8,34.15,2023,1,1,2023-01
2023-01-31,Tablet Plus,Audio,West,Direct,94,53000.91,17880.94,33.74,2023,1,1,2023-01
2023-01-31,Mouse Gaming,Electronics,West,Partner,19,35026.83,13295.36,37.96,2023,1,1,2023-01
2023-01-31,Desktop Computer,Audio,West,Online,100,162418.63,55797.76,34.35,2023,1,1,2023-01
2023-01-31,Printer Laser,Peripherals,Central,Online,47,39595.42,4353.27,10.99,2023,1,1,2023-01
2023-02-01,Mouse Gaming,Electronics,South,Direct,74,54010.06,17031.01,31.53,2023,2,1,2023-02
2023-02-01,Smart Watch,Electronics,South,Retail,88,146425.87,17776.22,12.14,2023,2,1,2023-02
2023-02-01,Wireless Headphones,Peripherals,West,Partner,12,5427.6,858.39,15.82,2023,2,1,2023-02
2023-02-01,Smartphone X,Computers,West,Partner,16,28522.93,3259.65,11.43,2023,2,1,2023-02
2023-02-01,Smartphone X,Computers,East,Partner,13,22353.42,8693.97,38.89,2023,2,1,2023-02
2023-02-01,Keyboard Mechanical,Peripherals,West,Partner,6,8816.6,1537.55,17.44,2023,2,1,2023-02
2023-02-01,Wireless Headphones,Audio,North,Online,22,23253.43,5113.44,21.99,2023,2,1,2023-02
2023-02-02,External SSD,Electronics,West,Online,1,744.53,216.78,29.12,2023,2,1,2023-02
2023-02-02,Laptop Pro,Computers,North,Online,95,127420.07,43577.6,34.2,2023,2,1,2023-02
2023-02-02,Tablet Plus,Audio,South,Direct,52,6563.17,1227.07,18.7,2023,2,1,2023-02
2023-02-02,Desktop Computer,Electronics,Central,Retail,63,37360.93,6137.32,16.43,2023,2,1,2023-02
2023-02-02,Printer Laser,Electronics,West,Retail,2,2748.63,1038.08,37.77,2023,2,1,2023-02
2023-02-02,Desktop Computer,Audio,East,Online,73,33683.41,12224.06,36.29,2023,2,1,2023-02
2023-02-02,Tablet Plus,Computers,South,Retail,76,43616.13,11482.62,26.33,2023,2,1,2023-02
2023-02-02,Mouse Gaming,Peripherals,Central,Retail,59,83786.22,20530.69,24.5,2023,2,1,2023-02
2023-02-02,Desktop Computer,Computers,Central,Retail,23,9410.89,1074.32,11.42,2023,2,1,2023-02
2023-02-03,External SSD,Computers,West,Online,55,30833.44,3545.02,11.5,2023,2,1,2023-02
2023-02-03,Tablet Plus,Peripherals,East,Retail,14,18162.36,6919.97,38.1,2023,2,1,2023-02
2023-02-03,Mouse Gaming,Computers,North,Retail,59,74844.8,8760.25,11.7,2023,2,1,2023-02
2023-02-03,External SSD,Computers,North,Partner,37,23301.76,7285.18,31.26,2023,2,1,2023-02
2023-02-03,Monitor 4K,Peripherals,South,Partner,65,94406.9,32940.74,34.89,2023,2,1,2023-02
2023-02-03,Wireless Headphones,Audio,Central,Retail,98,15038.11,1885.16,12.54,2023,2,1,2023-02
2023-02-03,Desktop Computer,Audio,East,Retail,98,68830.83,8109.48,11.78,2023,2,1,2023-02
2023-02-03,Smart Watch,Computers,West,Partner,67,60702.18,11737.39,19.34,2023,2,1,2023-02
2023-02-04,Desktop Computer,Electronics,East,Online,61,21933.37,4395.75,20.04,2023,2,1,2023-02
2023-02-04,Wireless Headphones,Audio,North,Partner,30,13054.55,4778.84,36.61,2023,2,1,2023-02
2023-02-04,Keyboard Mechanical,Accessories,West,Online,44,74678.83,10929.59,14.64,2023,2,1,2023-02
2023-02-04,Wireless Headphones,Audio,North,Retail,88,85536.86,33219.45,38.84,2023,2,1,2023-02
2023-02-04,Keyboard Mechanical,Peripherals,West,Retail,41,77535.53,15053.12,19.41,2023,2,1,2023-02
2023-02-04,Wireless Headphones,Computers,West,Partner,62,4516.04,1107.12,24.52,2023,2,1,2023-02
2023-02-05,Smart Watch,Peripherals,North,Retail,39,77498.98,7902.62,10.2,2023,2,1,2023-02
2023-02-05,Webcam HD,Accessories,East,Online,8,14178.85,4492.33,31.68,2023,2,1,2023-02
2023-02-05,Keyboard Mechanical,Audio,North,Online,59,66368.68,7544.03,11.37,2023,2,1,2023-02
2023-02-05,Mouse Gaming,Peripherals,Central,Retail,97,27601.32,6478.36,23.47,2023,2,1,2023-02
2023-02-05,Tablet Plus,Electronics,South,Partner,73,55202.14,6056.54,10.97,2023,2,1,2023-02
2023-02-05,Printer Laser,Audio,North,Retail,2,3920.17,560.14,14.29,2023,2,1,2023-02
2023-02-06,Keyboard Mechanical,Peripherals,West,Online,79,58752.37,13989.3,23.81,2023,2,1,2023-02
2023-02-06,Smartphone X,Accessories,East,Partner,9,16201.65,5306.57,32.75,2023,2,1,2023-02
2023-02-06,External SSD,Peripherals,South,Partner,29,42536.4,13011.69,30.59,2023,2,1,2023-02
2023-02-06,Mouse Gaming,Audio,South,Partner,93,49672.53,9734.85,19.6,2023,2,1,2023-02
2023-02-06,Webcam HD,Computers,Central,Retail,76,56043.73,21940.41,39.15,2023,2,1,2023-02
2023-02-07,Webcam HD,Peripherals,Central,Retail,64,74089.96,16332.28,22.04,2023,2,1,2023-02
2023-02-07,Printer Laser,Computers,West,Online,80,77510.26,8816.06,11.37,2023,2,1,2023-02
2023-02-07,Keyboard Mechanical,Peripherals,North,Online,10,18665.76,4343.61,23.27,2023,2,1,2023-02
2023-02-07,Webcam HD,Peripherals,Central,Online,20,39947.14,15175.29,37.99,2023,2,1,2023-02
2023-02-07,Desktop Computer,Peripherals,North,Direct,31,59088.71,23065.97,39.04,2023,2,1,2023-02
2023-02-07,Monitor 4K,Audio,South,Partner,2,3519.3,666.97,18.95,2023,2,1,2023-02
2023-02-08,Webcam HD,Audio,East,Online,64,19708.1,3568.64,18.11,2023,2,1,2023-02
2023-02-08,Smartphone X,Accessories,Central,Online,2,504.55,198.08,39.26,2023,2,1,2023-02
2023-02-08,Smart Watch,Computers,East,Online,69,24327.55,8227.13,33.82,2023,2,1,2023-02
2023-02-08,Monitor 4K,Computers,North,Online,79,41191.87,8702.63,21.13,2023,2,1,2023-02
2023-02-08,Monitor 4K,Accessories,Central,Online,7,8457.06,2525.2,29.86,2023,2,1,2023-02
2023-02-08,External SSD,Audio,East,Online,89,105155.65,13041.29,12.4,2023,2,1,2023-02
2023-02-08,Tablet Plus,Computers,East,Online,96,74490.88,17909.79,24.04,2023,2,1,2023-02
2023-02-08,Smart Watch,Audio,North,Online,69,35042.34,4930.43,14.07,2023,2,1,2023-02
2023-02-08,External SSD,Computers,West,Online,39,49647.93,10145.85,20.44,2023,2,1,2023-02
2023-02-09,Keyboard Mechanical,Computers,South,Direct,30,21955.02,3663.79,16.69,2023,2,1,2023-02
2023-02-09,Monitor 4K,Electronics,Central,Partner,72,30331.97,9049.21,29.83,2023,2,1,2023-02
2023-02-09,Wireless Headphones,Peripherals,East,Direct,68,38587.52,6512.27,16.88,2023,2,1,2023-02
